SUBMIT DATE,count
2014-08-13,3
2014-08-14,6
2014-08-15,7
2014-08-18,2
2014-08-21,5
2014-08-22,1
2014-08-25,8
2014-08-26,4
2014-08-27,5
2014-08-28,17
2014-08-29,2
2014-09-02,1
2014-09-03,1
2014-09-04,6
2014-09-05,8
2014-09-08,5
2014-09-09,4
2014-09-10,2
2014-09-11,2
2014-09-12,3
2014-09-16,6
2014-09-17,5
2014-09-18,7
2014-09-19,5
2014-09-22,3
2014-09-23,5
2014-09-24,3
2014-09-25,240
2014-09-26,211
2014-09-27,31
2014-09-28,1
2014-09-29,245
2014-09-30,275
2014-10-01,208
2014-10-02,188
2014-10-03,178
2014-10-04,5
2014-10-05,2
2014-10-06,167
2014-10-07,219
2014-10-08,237
2014-10-09,328
2014-10-10,253
2014-10-11,81
2014-10-12,5
2014-10-13,188
2014-10-14,258
2014-10-15,212
2014-10-16,276
2014-10-17,202
2014-10-18,20
2014-10-19,16
2014-10-20,311
2014-10-21,255
2014-10-22,225
2014-10-23,193
2014-10-24,250
2014-10-25,3
2014-10-26,2
2014-10-27,258
2014-10-28,276
2014-10-29,262
2014-10-30,245
2014-10-31,270
2014-11-01,4
2014-11-02,58
2014-11-03,313
2014-11-04,322
2014-11-05,371
2014-11-06,298
2014-11-07,265
2014-11-08,42
2014-11-09,9
2014-11-10,290
2014-11-11,268
2014-11-12,325
2014-11-13,380
2014-11-14,300
2014-11-15,3
2014-11-16,5
2014-11-17,375
2014-11-18,298
2014-11-19,325
2014-11-20,358
2014-11-21,338
2014-11-22,4
2014-11-23,4
2014-11-24,439
2014-11-25,456
2014-11-26,376
2014-11-27,92
2014-11-28,39
2014-11-29,1
2014-11-30,7
2014-12-01,535
2014-12-02,317
2014-12-03,433
2014-12-04,325
2014-12-05,251
2014-12-06,4
2014-12-07,4
2014-12-08,268
2014-12-09,249
2014-12-10,257
2014-12-11,301
2014-12-12,344
2014-12-13,14
2014-12-14,6
2014-12-15,365
2014-12-16,385
2014-12-17,386
2014-12-18,397
2014-12-19,513
2014-12-20,4
2014-12-21,7
2014-12-22,400
2014-12-23,369
2014-12-24,248
2014-12-25,1
2014-12-26,46
2014-12-27,4
2014-12-28,1
2014-12-29,409
2014-12-30,301
2014-12-31,265
2015-01-01,12
2015-01-02,120
2015-01-04,9
2015-01-05,370
2015-01-06,351
2015-01-07,309
2015-01-08,400
2015-01-09,358
2015-01-10,5
2015-01-11,8
2015-01-12,379
2015-01-13,217
2015-01-14,320
2015-01-15,413
2015-01-16,431
2015-01-17,1
2015-01-18,4
2015-01-19,335
2015-01-20,421
2015-01-21,398
2015-01-22,341
2015-01-23,338
2015-01-24,5
2015-01-25,3
2015-01-26,352
2015-01-27,342
2015-01-28,535
2015-01-29,495
2015-01-30,379
2015-01-31,25
2015-02-01,16
2015-02-02,609
2015-02-03,691
2015-02-04,685
2015-02-05,381
2015-02-06,738
2015-02-07,68
2015-02-08,8
2015-02-09,590
2015-02-10,835
2015-02-11,688
2015-02-12,978
2015-02-13,1096
2015-02-14,227
2015-02-15,8
2015-02-16,1147
2015-02-17,874
2015-02-18,1226
2015-02-19,1250
2015-02-20,632
2015-02-21,207
2015-02-22,36
2015-02-23,852
2015-02-24,586
2015-02-25,796
2015-02-26,866
2015-02-27,932
2015-02-28,197
2015-03-01,95
2015-03-02,1247
2015-03-03,1224
2015-03-04,1437
2015-03-05,2159
2015-03-06,1172
2015-03-07,906
2015-03-08,531
2015-03-09,1758
2015-03-10,1593
2015-03-11,1198
2015-03-12,1263
2015-03-13,1447
2015-03-14,685
2015-03-15,306
2015-03-16,1552
2015-03-17,1463
2015-03-18,1312
2015-03-19,1259
2015-03-20,1288
2015-03-21,300
2015-03-22,206
2015-03-23,961
2015-03-24,713
2015-03-25,727
2015-03-26,508
2015-03-27,435
2015-03-28,105
2015-03-29,27
2015-03-30,285
2015-03-31,582
2015-04-01,245
2015-04-02,287
2015-04-03,181
2015-04-06,271
2015-04-07,378
2015-04-08,277
2015-04-09,349
2015-04-10,292
2015-04-11,2
2015-04-12,16
2015-04-13,336
